id;example;term;pos;sense_id;definition;categories;hate;semantics/use;syntax;existence;regional;slang;domain;
32;The initial airhead may in fact be a series of smaller airheads which, after landing, join up in combat structure as mutually supporting in a tactical sense.;airhead;noun;1;An area of hostile territory that has been seized for use as an airbase to ensure the further safe landing of troops and materiel.;military;;;;;;;military;
38;Yeah. Well, Tammi is a bit of an airhead, I guess, but I feel sorry for her.;airhead;noun;4;A foolish, silly, or unintelligent person.;originally US, informal, derogatory;derogatory;informal;;;originally US;;;
1910;But why do police become grass-eaters at all, if they lack the greed and contempt fo decency necessary to become meat-eaters?;grass-eater;noun;2;A police officer who accepts offered bribes but does not actively seek them out.;figurative;;figurative;;;;;;
1913;That is what the modern men of Japan have done, these grass-eaters.;grass-eater;noun;3;A celibate man, especially a Japanese man, who eschews dating and sexual relationships.;derogatory, slang;derogatory;;;;;slang;;
1919;The pole was greased and men tried to walk out to the end of it and dislodge the crate. The pole was supple, the crate swayed as each man crept out clinging desperately and finally fell off into the sea.  […]  People roared with laughter and greasers applied fresh grease for the next person's try.;greaser;noun;1;Someone or something that greases (applies grease).;;;;;;;;;
1921;A pair of Greasers were ahead of me, but I could see only their outlines, and they didn't seem to interfere any with the scenery.;greaser;noun;5;A Latin American, especially a Mexican.;US, offensive, ethnic slur;offensive,ethnic slur;;;;US;;;
1928;“What′s a greenie doing with a gas hog like that?”;greenie;noun;1;"An environmentalist, someone who shows concern for the environment; often aimed at environmental extremists.";chiefly Australia, New Zealand, slang, derogatory;derogatory;;;;chiefly Australia,New Zealand;slang;;
1932;Mid-August, normally prime berry-picking time, came and went. Still too many greenies.;greenie;noun;4;An unripe fruit.;informal;;informal;;;;;;
1939;He dropped the emerald studs into Abbey's palm and said, “Those little greenies are worth more than diamonds.”;greenie;noun;6;A small, green object.;informal;;informal;;;;;;
2921;Who's there? peepers, intelligencers, eavesdroppers?;peeper;noun;2;"Someone who peeps; a spy.";;;;;;;;;
2923;So you go to see this peeper, this Marlowe. That was your mistake.;peeper;noun;3;A private detective.;dated, slang, derogatory;derogatory;;;dated;;slang;;
3238;That quack wants me to quit smoking, eat less, and start exercising. The nerve!;quack;noun;4;Any doctor.;humorous slang, mildly derogatory;mildly derogatory;;;;;humorous slang;;
3240;Do you hear the ducks quack?;quack;verb;1;To make a noise like a duck.;;;;;;;;;
3247;When no certain cure exists, quack remedies tend to proliferate and the history of quackery and secret cures is full of extraordinary forms of treatment for the various arthritic disorders.;quack;adjective;1;Falsely presented as having medicinal powers.;;;;;;;;;
3835;When have words ever hurt anyone? The triggered snowflakes at this liberal university are trying to literally murder our freedom of speech.;snowflake;noun;5;Someone hypersensitive to insult or offense, especially a young person with politically correct sensibilities.;slang, derogatory;derogatory;;;;;slang;;
3840;The authors have recently analyzed a PMMA lens explanted because of snowflake degeneration in the dry and hydrated states.;snowflake;noun;6;A type of lesion that appears as scattered white-brown spots under high magnification light microscopy.;ophthalmology;;;;;;;ophthalmology;
4399;All week after Thanksgiving, I had turkey sandwiches for lunch.;turkey;noun;3;The flesh or meat of this bird eaten as food.;uncountable;;;uncountable;;;;;
4403;The turkey cut in front of me and then berated me for running into him.;turkey;noun;9;A foolish or inept person.;countable, US, slang, usually mildly derogatory;usually mildly derogatory;;countable;;US;slang;;